path-prefix: /anfs/gfxdisp/hanxue_nerf_data/benchmark_videos
features-suffix: nerf
split-column: scene
train-ratio: 80
seed: 0
resume: true
config_dir: /anfs/gfxdisp/pmh64/nerf
display: eizo_color_edge
log-dir: logs/nerf
num_epochs: 250

scene,method,jod,jod_low,jod_high,reference,test
bears,directvoxgo,5.4370541380020505,-2.00144978450058,-0.89056259747022,"scene=bears,method=reference.mp4","scene=bears,method=directvoxgo.mp4"
bears,gnt_crossscene,5.22315840313876,-2.07223995786221,-1.14208814131882,"scene=bears,method=reference.mp4","scene=bears,method=gnt_crossscene.mp4"
bears,gnt_singlescene,6.718050624759269,-0.589213650938949,0.422407906077092,"scene=bears,method=reference.mp4","scene=bears,method=gnt_singlescene.mp4"
bears,ibrnet_finetune,7.100309448662463,-0.0648851937389719,0.782511661413407,"scene=bears,method=reference.mp4","scene=bears,method=ibrnet_finetune.mp4"
bears,ibrnet_pretrain,5.108394312328841,-2.17408626589287,-1.27177031484999,"scene=bears,method=reference.mp4","scene=bears,method=ibrnet_pretrain.mp4"
bears,light_field,6.103772910416169,-1.36836656519885,-0.107369895095124,"scene=bears,method=reference.mp4","scene=bears,method=light_field.mp4"
bears,mipnerf,6.756617021049145,-0.409782578655098,0.386591648956974,"scene=bears,method=reference.mp4","scene=bears,method=mipnerf.mp4"
bears,nerf,6.81815152920658,-0.40940232438796,0.456632530692778,"scene=bears,method=reference.mp4","scene=bears,method=nerf.mp4"
bears,nex,8.62455548657189,1.46888380129287,2.39755088046376,"scene=bears,method=reference.mp4","scene=bears,method=nex.mp4"
bears,plenoxel,7.299701497851999,0.108650601445495,0.998613044770383,"scene=bears,method=reference.mp4","scene=bears,method=plenoxel.mp4"
dinosaur,directvoxgo,7.03746933013946,0.272021475373213,2.27702055990382,"scene=dinosaur,method=reference.mp4","scene=dinosaur,method=directvoxgo.mp4"
dinosaur,gnt_crossscene,1.0808474182714214,-8.01842187373344,-3.80921092721389,"scene=dinosaur,method=reference.mp4","scene=dinosaur,method=gnt_crossscene.mp4"
dinosaur,gnt_singlescene,1.0808474181618504,-6.92380118363073,-3.8377286498362,"scene=dinosaur,method=reference.mp4","scene=dinosaur,method=gnt_singlescene.mp4"
dinosaur,ibrnet_finetune,6.102826624957054,-1.28780238244232,1.40833523851772,"scene=dinosaur,method=reference.mp4","scene=dinosaur,method=ibrnet_finetune.mp4"
dinosaur,ibrnet_pretrain,2.9557667732918302,-4.53848329678803,-2.02649537213071,"scene=dinosaur,method=reference.mp4","scene=dinosaur,method=ibrnet_pretrain.mp4"
dinosaur,light_field,5.555123434584989,-1.84339026335795,0.732587831377982,"scene=dinosaur,method=reference.mp4","scene=dinosaur,method=light_field.mp4"
dinosaur,mipnerf,9.84092118691444,2.97098428352157,5.79392023034525,"scene=dinosaur,method=reference.mp4","scene=dinosaur,method=mipnerf.mp4"
dinosaur,nerf,9.22538023397734,2.40881806970233,5.11529488039881,"scene=dinosaur,method=reference.mp4","scene=dinosaur,method=nerf.mp4"
dinosaur,nex,9.78428833697927,2.7144295050115,5.82158950172529,"scene=dinosaur,method=reference.mp4","scene=dinosaur,method=nex.mp4"
dinosaur,plenoxel,6.38031647340967,-0.60432500028589,1.60659158753215,"scene=dinosaur,method=reference.mp4","scene=dinosaur,method=plenoxel.mp4"
elephant,directvoxgo,9.48680427266316,1.03502534210887,2.85199827410569,"scene=elephant,method=reference.mp4","scene=elephant,method=directvoxgo.mp4"
elephant,gnt_crossscene,5.44462831126905,-3.95791237127087,-1.42554001865519,"scene=elephant,method=reference.mp4","scene=elephant,method=gnt_crossscene.mp4"
elephant,gnt_singlescene,5.73753525187343,-3.51093558193734,-1.10454652452948,"scene=elephant,method=reference.mp4","scene=elephant,method=gnt_singlescene.mp4"
elephant,ibrnet_finetune,7.336849884105102,-1.56030209019397,0.424127992425437,"scene=elephant,method=reference.mp4","scene=elephant,method=ibrnet_finetune.mp4"
